"Location","Total CHCs","Service Delivery Sites","Clinical Visits","Virtual Visits","Total Visits",Footnotes
"United States","1385","12785","122303749","478333","122782082","1"
"Alabama","17","161","1175610","2163","1177773"
"Alaska","27","194","574329","11604","585933"
"Arizona","23","206","2778328","8765","2787093"
"Arkansas","12","149","933152","3921","937073"
"California","180","1898","25490080","145606","25635686"
"Colorado","20","223","2779642","1613","2781255"
"Connecticut","16","314","2161870","6340","2168210"
"Delaware","3","16","164892","443","165335"
"District of Columbia","8","70","932515","3238","935753"
"Florida","47","630","5978552","18399","5996951"
"Georgia","35","297","1937678","6000","1943678"
"Hawaii","14","80","738632","542","739174"
"Idaho","14","130","863612","156","863768"
"Illinois","45","425","5031954","38856","5070810"
"Indiana","27","224","2036532","10098","2046630"
"Iowa","14","89","806107","6420","812527"
"Kansas","19","117","827825","8353","836178"
"Kentucky","25","384","2057883","7402","2065285"
"Louisiana","36","318","1742769","6522","1749291"
"Maine","18","154","884448","2050","886498"
"Maryland","17","131","1482533","1610","1484143"
"Massachusetts","38","265","4010738","1354","4012092"
"Michigan","39","349","2758029","7625","2765654"
"Minnesota","16","90","701588","1079","702667"
"Mississippi","20","242","963215","34034","997249"
"Missouri","29","315","2190452","29118","2219570"
"Montana","14","90","494453","1079","495532"
"Nebraska","7","63","387814","1710","389524"
"Nevada","8","48","338102","2301","340403"
"New Hampshire","10","51","417246","19","417265"
"New Jersey","24","135","2153447","6340","2159787"
"New Mexico","16","225","1651572","15569","1667141"
"New York","63","802","10285419","13989","10299408"
"North Carolina","39","324","2086668","6001","2092669"
"North Dakota","4","25","133573","54","133627"
"Ohio","51","349","3346636","7544","3354180"
"Oklahoma","21","114","905999","4365","910364"
"Oregon","30","242","1815353","10649","1826002"
"Pennsylvania","43","325","3005314","3418","3008732"
"Rhode Island","8","54","834674","4","834678"
"South Carolina","23","212","1774674","1554","1776228"
"South Dakota","4","47","253743","3849","257592"
"Tennessee","29","221","1563491","13963","1577454"
"Texas","72","579","6074306","7754","6082060"
"Utah","13","65","558077","702","558779"
"Vermont","11","78","757896","1369","759265"
"Virginia","26","173","1328510","2290","1330800"
"Washington","27","376","4802026","6576","4808602"
"West Virginia","28","372","1948896","1258","1950154"
"Wisconsin","16","170","1180770","2365","1183135"
"Wyoming","6","17","110345","274","110619"
"American Samoa","1","6","45683","0","45683"
"Federated States of Micronesia","4","12","69313","0","69313"
"Guam","1","2","28066","9","28075"
"Marshall Islands","1","5","34048","0","34048"
"Northern Mariana Islands","1","1","4617","0","4617"
"Palau","1","10","41786","0","41786"
"Puerto Rico","22","115","1802379","17","1802396"
"U.S. Virgin Islands","2","6","65888","0","65888"